eventid,latitude,longitude,attacktype1,weaptype1,nkill,nwound
197000000001,18.456792,-69.951164,1,13,1,0
197000000002,19.371887,-99.086624,6,13,0,0
197001000001,15.478598,120.599741,1,13,1,0
197001000002,37.99749,23.762728,3,6,,
197001000003,33.580412,130.396361,7,8,,
197001010002,37.005105,-89.176269,2,5,0,0
197001020001,-34.891151,-56.187214,1,5,0,0
197001020002,37.791927,-122.225906,3,6,0,0
197001020003,43.076592,-89.412488,7,8,0,0
197001030001,43.07295,-89.386694,7,8,0,0
197001050001,43.4685,-89.744299,3,6,0,0
197001060001,39.758968,-104.876305,7,8,0,0
197001080001,41.890961,12.490069,4,5,0,0
197001090001,42.331685,-83.047924,7,8,0,0
197001090002,18.386932,-66.061127,7,8,0,0
197001100001,52.50153,13.401851,3,6,,
197001110001,,,9,13,1,0
197001120001,40.697132,-73.931351,3,6,0,0
197001120002,18.379998,-65.830948,3,6,0,0
197001130001,47.610786,-122.331306,7,8,0,0
197001140001,40.116748,-88.23927,7,8,0,1
197001150001,-34.891151,-56.187214,2,5,0,0
197001190002,47.610786,-122.331306,3,6,0,0
197001190003,47.610786,-122.331306,3,6,0,0
197001190004,40.717892,-74.067467,7,8,0,0
197001200001,14.622869,-90.529068,1,13,1,0
197001210001,14.67428,121.057495,3,6,0,0
197001220001,10.482834,-66.962128,6,13,0,0
197001220002,42.47031,-96.413949,3,6,0,0
197001250001,33.60651,-88.650419,7,8,0,0
197001250002,40.697132,-73.931351,2,5,0,2
197001260001,33.60651,-88.650419,3,6,0,0
197001260003,40.697132,-73.931351,2,5,0,0
197001270002,41.241996,-82.615241,7,8,0,0
197001280001,52.50153,13.401851,7,8,,
197001280002,47.610786,-122.331306,3,6,0,0
197001300001,42.479999,-96.413046,3,6,0,0
197001300002,42.46634,-96.41405,3,6,0,0
197001300003,25.720851,-80.277857,7,8,0,0
197001310001,15.675051,120.331618,9,13,0,1
197001310002,39.758968,-104.876305,3,6,0,0
197002010001,45.511795,-122.675629,7,8,0,0
197002010002,37.005105,-89.176269,2,5,0,0
197002020001,40.697132,-73.931351,7,8,0,0
197002030001,40.697132,-73.931351,7,8,0,0
197002030002,40.697132,-73.931351,7,8,0,0
197002040001,41.084195,-81.514059,3,6,0,0
197002060001,39.758968,-104.876305,3,6,0,0
197002060002,47.610786,-122.331306,3,6,0,0
197002060003,47.610786,-122.331306,3,6,0,0
197002060004,18.460791,-66.264884,7,8,0,0
197002060005,18.386932,-66.061127,7,8,0,0
197002060006,18.441963,-66.026316,7,8,0,0
197002060007,42.3505,-71.105399,7,8,0,0
197002070003,42.838355,-88.743224,7,8,0,0
197002080001,40.697132,-73.931351,3,6,0,0
197002080002,40.697132,-73.931351,3,6,0,0
197002090003,40.697132,-73.931351,3,6,0,0
197002090004,39.07859,-84.179414,3,6,0,0
197002100001,48.139126,11.580186,2,5,1,
197002110001,42.263414,-83.665281,7,8,0,0
197002130001,37.874043,-122.280022,3,6,0,7
197002130002,48.139126,11.580186,7,8,7,9
197002130003,37.874043,-122.280022,3,6,0,7
197002150001,40.697132,-73.931351,3,6,0,0
197002150002,44.04483,-123.072606,7,8,0,1
197002160001,37.755363,-122.443352,3,6,1,0
197002160002,37.874043,-122.280022,3,6,0,0
197002160003,37.874043,-122.280022,3,6,0,0
197002160004,37.755363,-122.443352,2,5,0,0
197002170001,37.791927,-122.225906,3,6,0,0
197002170002,39.334825,-77.431653,3,6,0,0
197002170003,30.493919,-90.132512,3,6,0,0
197002170004,47.610786,-122.331306,3,6,0,0
197002180002,41.479561,-81.675461,3,6,0,0
197002180003,38.10083,-122.254954,3,6,0,0
197002200001,41.763325,-72.674069,7,8,0,0
197002200002,40.697132,-73.931351,7,8,0,0
197002200003,47.610786,-122.331306,3,6,0,0
197002210001,50.11797,8.644191,3,6,0,0
197002210002,47.36865,8.539182,3,6,47,0
197002210003,40.697132,-73.931351,7,8,0,0
197002210004,40.697132,-73.931351,7,8,0,0
197002210005,40.697132,-73.931351,3,6,0,0
197002210006,39.758968,-104.876305,7,8,0,0
197002220001,42.455233,-76.475847,7,8,0,0
197002220002,43.287052,-89.724361,3,6,0,0
197002230001,42.47031,-96.413949,3,6,0,0
